Species,PlantedStand,Block,Canopy,Understory,OriginStand,Sdlg#,TagColor,StatusDate1,Date,Height,Notes,StatusDate4,Date4,HeightDate4,Notes4,StatusDate5,Date5,HeightDate5,RtCrnHeightDate5,Notes5,Initial Height,comments,done,to do,UniqueID
TSHE,704,TO041,CompAbsent,CompAbsent,1197,2,WH,D,6/23/11,,,D,8/27/12,,,D,8/13/13,,,,3,2 rows,checked 2011 & 2012,check 2010 and 2013- could be 102 oe 202,TSHE1197-2
ABAM,1603,PARA5,CompPresent,CompAbsent,704,68,PK,A,8/19/11,,,D,9/11/12,,,D,8/8/13,,,,3.2,2 rows,checked,,ABAM704-68
ABAM,1603,PARA2,CompAbsent,CompPresent,704,68,PK,D,9/1/11,,,D,9/11/12,,,D,8/8/13,,,,3.2,2 rows,checked,,ABAM704-68
ABAM,1064,AV063,CompAbsent,CompPresent,704,45,PK,A,6/30/11,,,D,8/28/12,,,D,8/8/13,,,,3.3,2 rows,"checked 2010 (planting), 2011 & 2012",,ABAM704-45
TSHE,1197,AM161,CompAbsent,CompPresent,1197,76,WH,A,7/21/11,,,D,8/28/12,,,D,8/6/13,,,,3.5,2 rows,"checked 2010 (planting), 2011 & 2012",check 2010 and 2013- could be 102 oe 202,TSHE1197-76
TSHE,1197,AM162,CompAbsent,CompPresent,1197,76,WH,A,7/21/11,,,D,8/28/12,,,D,8/6/13,,,,3.5,2 rows,"checked 2010 (planting), 2011 & 2012",check 2010 and 2013- could be 102 oe 202,TSHE1197-76
ABAM,1603,PARA2,CompPresent,CompPresent,704,7,PK,A,8/19/11,,,D,9/11/12,,,D,8/8/13,,,,3.6,2 rows,checked,,ABAM704-7
ABAM,668,NISQ5,CompPresent,CompPresent,704,49,PK,A,6/23/11,,,D,8/29/12,,,D,8/12/13,,,,3.7,2 rows,checked,,ABAM704-49
ABAM,668,NISQ4,CompAbsent,CompPresent,704,3,PK,A,6/23/11,,,D,8/29/12,,,D,8/12/13,,,,4.2,2 rows,checked,,ABAM704-3
ABAM,1064,AV065,CompPresent,CompPresent,704,3,PK,D,6/30/11,,,D,8/28/12,,,D,8/8/13,,,,4.2,2 rows,"checked 2010 (planting), 2011 & 2012",,ABAM704-3
ABAM,704,TO041,CompPresent,CompAbsent,704,1,PK,A,6/23/11,,,D,8/27/12,,,D,8/13/13,,,,4.4,2 rows,checked,,ABAM704-1
ABAM,704,TO041,CompPresent,CompPresent,704,37,PK,D,6/23/11,,,D,8/27/12,,,D,8/13/13,,,,4.7,2 rows,checked,,ABAM704-37
ABAM,1650,HIGH1,CompAbsent,CompPresent,704,37,PK,D,8/24/11,,,D,9/12/12,,,D,8/7/13,,,,4.7,2 rows,"checked 2010 (planting), 2011 & 2012",,ABAM704-37
ABAM,1603,PARA1,CompPresent,CompAbsent,704,96,PK,A,8/3/11,,,D,9/11/12,,,D,8/8/13,,,,5,2 rows,checked,,ABAM704-96
ABAM,668,NISQ4,CompPresent,CompAbsent,704,10,PK,A,6/23/11,,,D,8/29/12,,,D,8/12/13,,,,5.2,2 rows,checked 2010,,ABAM704-10
ABAM,1064,AV063,CompPresent,CompPresent,704,10,PK,D,6/30/11,,,D,8/28/12,,,D,8/8/13,,,,5.2,2 rows,"checked 2010 (planting), 2011 & 2012",,ABAM704-10
ABAM,704,TO042,CompPresent,CompPresent,704,5,PK,A,6/23/11,,,A,8/27/12,2,,A,8/13/13,3.2,6.5,,5,3 rows,checked,,ABAM704-5
ABAM,668,NISQ2,CompAbsent,CompAbsent,704,2,PK,A,6/23/11,,,A,8/29/12,4.1,,D,8/12/13,,,,4.5,3 rows,checked,,ABAM704-2
ABAM,704,TO042,CompAbsent,CompPresent,704,5,PK,A,6/23/11,,,A,8/27/12,4.5,,A,8/13/13,4,6.1,,5,3 rows,checked,,ABAM704-5
ABAM,704,TO042,CompPresent,CompPresent,704,4,PK,A,6/23/11,,,D,8/27/12,,,D,8/13/13,,,,3.6,3 rows,checked,,ABAM704-4
ABAM,668,NISQ1,CompAbsent,CompAbsent,704,4,PK,A,6/23/11,,,D,8/29/12,,,D,8/12/13,,,,3.6,3 rows,checked,,ABAM704-4
ABAM,1064,AV063,CompAbsent,CompPresent,704,4,PK,A,6/30/11,,,D,8/28/12,,,D,8/8/13,,,,3.6,3 rows,"checked 2010 (planting), 2011 & 2012",,ABAM704-4
ABAM,1064,AV065,CompPresent,CompPresent,704,2,PK,A,6/30/11,,,D,8/28/12,,,D,8/8/13,,,,4.5,3 rows,"checked 2010 (planting), 2011 & 2012",,ABAM704-2
ABAM,1650,HIGH5,CompPresent,CompPresent,704,2,PK,D,8/16/11,,,D,9/12/12,,,D,8/7/13,,,,4.5,3 rows,"checked 2010(planting), 2011 & 2012",,ABAM704-2
ABAM,668,NISQ4,CompAbsent,CompPresent,704,5,PK,D,6/23/11,,,D,8/29/12,,,D,8/12/13,,,,5,3 rows,checked,,ABAM704-5
ABAM,704,TO041,CompAbsent,CompAbsent,1603,86,MISSING,M,6/23/11,,,D,8/27/12,,,D,8/13/13,,,,2.5,remove from dataset for analysis- duplicate and no way to check since dug up in 2010,checked 2011 & 2012 datasheets,remove from dataset?,ABAM1603-86
ABAM,1603,PARA2,CompAbsent,CompAbsent,1603,31,BL,A,8/25/11,,,A,9/11/12,1.3,,D,8/8/13,,,,3.6,,,,ABAM1603-31
ABAM,1603,PARA2,CompAbsent,CompPresent,1603,120,BL,A,9/1/11,,,A,9/11/12,1.4,,D,8/8/13,,,,2.8,,,,ABAM1603-120
TSME,1603,PARA1,CompAbsent,CompAbsent,1460,68,YL,A,8/16/11,,,A,9/11/12,1.5,,D,8/8/13,,,,1.8,,,,TSME1460-68
TSME,1603,PARA5,CompAbsent,CompPresent,1197,234,RD,A,8/19/11,,,A,9/11/12,0.8,,M,8/8/13,,,,1.4,,,,TSME1197-234
TSHE,1197,AM163,CompPresent,CompAbsent,1197,242,WH,A,7/21/11,,,A,8/28/12,0.8,,D,8/6/13,,,,2.3,,,,TSHE1197-242
TSME,1650,HIGH3,CompPresent,CompAbsent,1197,445,RD,A,8/16/11,,,A,9/12/12,0.9,,D,8/7/13,,,,1.3,,,,TSME1197-445
TSME,1197,AM162,CompPresent,CompAbsent,1603,528,BL,A,7/21/11,,,A,8/28/12,0.9,,D,8/6/13,,,,1.5,,,,TSME1603-528
TSME,1603,PARA2,CompAbsent,CompPresent,1603,159,BL,A,9/15/11,,snow UNTIL 9/15,A,9/11/12,0.9,,A,8/8/13,1.5,1.8,,1.9,,,,TSME1603-159
TSME,1650,HIGH2,CompAbsent,CompAbsent,1603,8,BL,A,8/24/11,,,A,9/12/12,0.9,,D,8/7/13,,,,2.1,,,,TSME1603-8
TSME,1460,AE102,CompPresent,CompAbsent,1460,537,YL,A,8/2/11,,,A,9/13/12,0.9,,D,8/5/13,,,,2.2,,,,TSME1460-537
ABAM,1650,HIGH1,CompPresent,CompPresent,1603,22,BL,A,8/16/11,,,A,9/12/12,0.9,,D,8/7/13,,,,3.2,,,,ABAM1603-22
TSME,1603,PARA5,CompAbsent,CompAbsent,1460,15,YL,A,8/19/11,,,A,9/11/12,1,,D,8/8/13,,,,1.2,,,,TSME1460-15
TSME,1460,AE101,CompPresent,CompAbsent,1603,472,BL,D,8/17/11,,,A,9/13/12,1,,D,8/5/13,,,,1.2,,,,TSME1603-472
TSME,1603,PARA2,CompAbsent,CompPresent,1460,558,YL,A,9/15/11,,snow UNTIL 9/15,A,9/11/12,1,,A,8/8/13,2,1.8,,1.3,,,,TSME1460-558
TSME,1460,AE102,CompPresent,CompAbsent,1603,332,BL,A,8/2/11,,,A,9/13/12,1,,D,8/5/13,,,,1.5,,,,TSME1603-332
TSME,1650,HIGH4,CompAbsent,CompAbsent,1603,540,BL,A,9/1/11,,,A,9/12/12,1,,A,8/7/13,1.9,2.2,,1.7,,,,TSME1603-540
TSME,1460,AE105,CompPresent,CompAbsent,1603,92,BL,A,8/2/11,,,A,9/13/12,1,,D,8/5/13,,,,1.7,,,,TSME1603-92
TSME,1650,HIGH3,CompPresent,CompAbsent,1460,518,YL,A,8/16/11,,,A,9/12/12,1,,D,8/7/13,,,,1.7,,,,TSME1460-518
TSME,1603,PARA2,CompAbsent,CompPresent,1460,49,YL,A,9/15/11,,snow UNTIL 9/15,A,9/11/12,1,,A,8/8/13,1.8,2.2,,1.8,,,,TSME1460-49
TSME,1603,PARA2,CompPresent,CompPresent,1603,389,BL,A,8/16/11,,,A,9/11/12,1,,D,8/8/13,,,,2,,,,TSME1603-389
TSME,1603,PARA4,CompPresent,CompAbsent,1460,21,YL,A,8/3/11,,,A,9/11/12,1,,D,8/8/13,,,,2.2,,,,TSME1460-21
ABAM,1603,PARA4,CompAbsent,CompAbsent,704,75,PK,A,8/19/11,,,A,9/11/12,1,,A,8/8/13,4.1,4.2,,2.5,,,,ABAM704-75
ABAM,1603,PARA5,CompPresent,CompPresent,1064,285,YL,A,8/3/11,,,A,9/11/12,1,,A,8/8/13,1.6,3.3,,3.2,,,,ABAM1064-285
TSME,1650,HIGH2,CompPresent,CompPresent,1460,275,YL,A,8/16/11,,,A,9/12/12,1.1,,A,8/7/13,1,1.5,,1.4,,,,TSME1460-275
TSME,1603,PARA5,CompAbsent,CompPresent,1603,354,BL,A,8/19/11,,,A,9/11/12,1.1,,A,8/8/13,1.3,2,,1.4,,,,TSME1603-354
TSME,1603,PARA2,CompAbsent,CompPresent,1460,383,YL,A,9/15/11,,snow UNTIL 9/15,A,9/11/12,1.1,,A,8/8/13,1.4,2,,1.4,,,,TSME1460-383
TSME,1650,HIGH3,CompAbsent,CompAbsent,1603,399,BL,A,9/1/11,,,A,9/12/12,1.1,,A,8/7/13,1.5,2.4,,1.4,,,,TSME1603-399
TSME,1603,PARA2,CompPresent,CompPresent,1197,270,RD,A,8/16/11,,,A,9/11/12,1.1,,D,8/8/13,,,,1.6,,,,TSME1197-270
TSME,1650,HIGH4,CompAbsent,CompPresent,1603,561,BL,A,9/1/11,,,A,9/12/12,1.1,,A,8/7/13,2,2.1,,1.8,,,,TSME1603-561
TSME,1460,AE102,CompPresent,CompAbsent,1197,198,RD,A,8/2/11,,,A,9/13/12,1.1,,D,8/5/13,,,,1.9,,,,TSME1197-198
TSME,1460,AE101,CompPresent,CompAbsent,1460,272,YL,A,8/17/11,,,A,9/13/12,1.1,,D,8/5/13,,,,2,,,,TSME1460-272
ABAM,1650,HIGH5,CompPresent,CompPresent,1064,309,YL,A,8/16/11,,,A,9/12/12,1.1,,D,8/7/13,,,,2.2,,,,ABAM1064-309
TSME,1650,HIGH5,CompPresent,CompAbsent,1603,203,BL,A,8/16/11,,,A,9/12/12,1.1,,D,8/7/13,,,,2.4,,,,TSME1603-203
TSME,1603,PARA2,CompAbsent,CompAbsent,1197,264,RD,A,8/25/11,,,A,9/11/12,1.2,,A,8/8/13,2,2.1,,1.2,,,,TSME1197-264
TSME,1603,PARA4,CompPresent,CompPresent,1197,268,RD,A,8/3/11,,,A,9/11/12,1.2,,D,8/8/13,,,,1.2,,,,TSME1197-268
TSME,1650,HIGH5,CompPresent,CompPresent,1460,277,YL,A,8/16/11,,,A,9/12/12,1.2,,D,8/7/13,,,,1.2,,,,TSME1460-277
TSME,1197,AM165,CompPresent,CompPresent,1603,150,BL,A,7/21/11,,,A,8/28/12,1.2,,D,8/6/13,,,,1.4,,,,TSME1603-150
TSME,1460,AE101,CompAbsent,CompAbsent,1197,422,RD,A,8/17/11,,,A,9/13/12,1.2,,D,8/5/13,,,,1.4,,,,TSME1197-422
TSME,1460,AE105,CompAbsent,CompPresent,1460,522,YL,A,8/2/11,,,A,9/13/12,1.2,,D,8/5/13,,,,1.4,,,,TSME1460-522
TSME,1460,AE104,CompAbsent,CompPresent,1460,551,YL,A,8/2/11,,,A,9/13/12,1.2,,D,8/5/13,,,,1.5,,,,TSME1460-551
TSME,1603,PARA5,CompPresent,CompAbsent,1460,11,YL,A,8/3/11,,,A,9/11/12,1.2,,D,8/8/13,,,,1.5,,,,TSME1460-11
TSME,1603,PARA1,CompPresent,CompAbsent,1460,44,YL,A,8/3/11,,,A,9/11/12,1.2,,D,8/8/13,,,,1.5,,,,TSME1460-44
TSME,1650,HIGH4,CompAbsent,CompAbsent,1197,397,RD,A,9/1/11,,,A,9/12/12,1.2,,A,8/7/13,1.5,2.7,,1.6,,,,TSME1197-397
TSME,1603,PARA1,CompPresent,CompPresent,1603,382,BL,A,8/3/11,,,A,9/11/12,1.2,,D,8/8/13,,,,1.6,,,,TSME1603-382
TSME,1603,PARA2,CompAbsent,CompPresent,1603,59,BL,A,9/15/11,,snow UNTIL 9/15,A,9/11/12,1.2,,D,8/8/13,,,,1.6,,,,TSME1603-59
TSME,1064,AV063,CompAbsent,CompPresent,1197,26,RD,A,6/30/11,,,A,8/28/12,1.2,In Column A,D,8/8/13,,,,1.6,,,,TSME1197-26
TSME,1603,PARA5,CompAbsent,CompPresent,1603,97,BL,A,8/19/11,,,A,9/11/12,1.2,,D,8/8/13,,,,1.7,,,,TSME1603-97
TSME,1650,HIGH2,CompPresent,CompPresent,1197,522,RD,A,8/16/11,,,A,9/12/12,1.2,,A,8/7/13,1.5,3,,1.8,,,,TSME1197-522
TSME,1603,PARA3,CompPresent,CompPresent,1460,280,YL,A,8/3/11,,,A,9/11/12,1.2,,D,8/8/13,,,,1.8,,,,TSME1460-280
TSME,1603,PARA2,CompPresent,CompPresent,1603,79,BL,A,8/16/11,,,A,9/11/12,1.2,,D,8/8/13,,,,1.8,,,,TSME1603-79
TSME,1197,AM162,CompPresent,CompAbsent,1197,169,RD,A,7/21/11,,,A,8/28/12,1.2,,D,8/6/13,,,,1.8,,,,TSME1197-169
TSME,1603,PARA1,CompPresent,CompPresent,1460,36,YL,A,8/3/11,,,A,9/11/12,1.2,,D,8/8/13,,,,1.8,,,,TSME1460-36
TSME,1460,AE103,CompPresent,CompPresent,1460,86,YL,A,8/2/11,,,A,9/13/12,1.2,,D,8/5/13,,,,2,,,,TSME1460-86
TSME,1650,HIGH1,CompPresent,CompAbsent,1603,67,BL,A,8/16/11,,,A,9/12/12,1.2,,D,8/7/13,,,,2.4,,,,TSME1603-67
TSME,1603,PARA5,CompPresent,CompPresent,1197,273,RD,A,8/3/11,,,A,9/11/12,1.2,,M,8/8/13,,,,2.6,,,,TSME1197-273
TSME,1603,PARA3,CompPresent,CompAbsent,1603,120,BL,A,8/3/11,,,A,9/11/12,1.2,,M,8/8/13,,,,2.7,,,,TSME1603-120
TSME,1603,PARA3,CompAbsent,CompAbsent,1460,80,YL,A,8/16/11,,,A,9/11/12,1.2,,A,8/8/13,3.3,3.2,,2.8,,,,TSME1460-80
ABAM,1603,PARA5,CompPresent,CompPresent,1603,157,BL,A,8/3/11,,,A,9/11/12,1.2,,A,8/8/13,1,4,,3,,,,ABAM1603-157
TSME,1197,AM162,CompPresent,CompAbsent,1197,47,RD,A,7/21/11,,,A,8/28/12,1.3,,D,8/6/13,,,,1.2,,,,TSME1197-47
TSME,1603,PARA1,CompPresent,CompAbsent,1460,29,YL,A,8/3/11,,,A,9/11/12,1.3,,D,8/8/13,,,,1.4,,,,TSME1460-29
TSME,1460,AE101,CompAbsent,CompAbsent,1603,20,BL,A,8/17/11,,,A,9/13/12,1.3,,D,8/5/13,,,,1.4,,,,TSME1603-20
TSME,1650,HIGH5,CompAbsent,CompPresent,1460,496,YL,A,8/16/11,,,A,9/12/12,1.3,,D,8/7/13,,,,1.4,,,,TSME1460-496
TSME,1650,HIGH4,CompAbsent,CompAbsent,1460,503,YL,A,9/1/11,,,A,9/12/12,1.3,,D,8/7/13,,,,1.5,,,,TSME1460-503
TSME,1460,AE104,CompPresent,CompPresent,1197,549,RD,A,8/2/11,,,A,9/13/12,1.3,,D,8/5/13,,,,1.6,,,,TSME1197-549
TSME,1197,AM165,CompPresent,CompAbsent,1197,77,RD,A,7/21/11,,,A,8/28/12,1.3,,A,8/6/13,2,3,,1.8,,,,TSME1197-77
TSME,1603,PARA5,CompPresent,CompAbsent,1197,248,RD,A,8/3/11,,,A,9/11/12,1.3,,D,8/8/13,,,,1.8,,,,TSME1197-248
TSME,1603,PARA2,CompAbsent,CompPresent,1460,242,YL,A,9/15/11,,snow UNTIL 9/15,A,9/11/12,1.3,,A,8/8/13,1.2,2.2,,2,,,,TSME1460-242
TSME,1603,PARA1,CompAbsent,CompAbsent,1603,454,BL,A,8/16/11,,,A,9/11/12,1.3,,A,8/8/13,2.3,3.5,,2,,,,TSME1603-454
TSME,1650,HIGH5,CompPresent,CompAbsent,1603,206,BL,A,8/16/11,,,A,9/12/12,1.3,,D,8/7/13,,,,2,,,,TSME1603-206
TSME,1650,HIGH2,CompPresent,CompAbsent,1603,49,BL,A,8/16/11,,,A,9/12/12,1.3,,A,8/7/13,2.2,3.5,,2.1,,,,TSME1603-49
TSME,1064,AV065,CompPresent,CompAbsent,1603,433,BL,A,6/30/11,,,A,8/28/12,1.3,,D,8/8/13,,,,2.1,,,,TSME1603-433
TSHE,1460,AE105,CompAbsent,CompAbsent,704,533,GR,A,8/2/11,,,A,9/13/12,1.3,,A,8/5/13,1.8,2.7,,2.6,,,,TSHE704-533
TSME,1650,HIGH4,CompAbsent,CompPresent,1460,432,YL,A,9/1/11,,,A,9/12/12,1.3,,A,8/7/13,2.1,2.9,,2.8,,,,TSME1460-432
ABAM,668,NISQ1,CompPresent,CompAbsent,1603,80,BL,A,6/23/11,,,A,8/29/12,1.3,,A,8/12/13,1.6,3.6,,2.8,,,,ABAM1603-80
ABAM,1650,HIGH2,CompAbsent,CompAbsent,1603,128,BL,A,8/24/11,,,A,9/12/12,1.3,,D,8/7/13,,,,3.2,,,,ABAM1603-128
ABAM,1603,PARA5,CompPresent,CompPresent,1197,90,GR,A,8/3/11,,,A,9/11/12,1.3,,A,8/8/13,1.5,3.3,,3.6,,,,ABAM1197-90
ABAM,1603,PARA5,CompAbsent,CompAbsent,704,56,PK,A,8/19/11,,,A,9/11/12,1.3,,D,8/8/13,,,,4,,,,ABAM704-56
TSME,1603,PARA3,CompAbsent,CompAbsent,1197,231,RD,A,8/16/11,,,A,9/11/12,1.4,,D,8/8/13,,,,1.3,,,,TSME1197-231
TSME,1603,PARA1,CompPresent,CompAbsent,1603,563,BL,A,8/3/11,,,A,9/11/12,1.4,,A,8/8/13,1.2,2,,1.4,,,,TSME1603-563
TSME,1603,PARA1,CompPresent,CompAbsent,1603,131,BL,A,8/3/11,,,A,9/11/12,1.4,,D,8/8/13,,,,1.4,,,,TSME1603-131
TSME,1650,HIGH2,CompPresent,CompAbsent,1603,55,BL,A,8/16/11,,,A,9/12/12,1.4,,A,8/7/13,1.8,2.1,,1.5,,,,TSME1603-55
TSME,1460,AE102,CompPresent,CompAbsent,1603,325,BL,A,8/2/11,,,A,9/13/12,1.4,,A,8/5/13,2.2,2.1,,1.5,,,,TSME1603-325
TSME,1650,HIGH3,CompAbsent,CompAbsent,1603,33,BL,A,9/1/11,,,A,9/12/12,1.4,,A,8/7/13,1.7,2.3,,1.6,,,,TSME1603-33
TSME,1603,PARA1,CompAbsent,CompAbsent,1603,285,BL,A,8/16/11,,,A,9/11/12,1.4,,A,8/8/13,2,2.7,,1.7,,,,TSME1603-285
TSME,1603,PARA3,CompPresent,CompPresent,1603,463,BL,A,8/3/11,,,A,9/11/12,1.4,,D,8/8/13,,,,1.7,,,,TSME1603-463
TSME,1650,HIGH2,CompPresent,CompAbsent,1460,448,YL,A,8/16/11,,,A,9/12/12,1.4,,A,8/7/13,1.9,2.3,,1.8,,,,TSME1460-448
TSME,1197,AM161,CompAbsent,CompAbsent,1197,121,RD,A,7/21/11,,,A,8/28/12,1.4,,A,8/6/13,1.7,2.5,,1.9,,,,TSME1197-121
TSME,1460,AE105,CompPresent,CompAbsent,1460,535,YL,A,8/2/11,,,A,9/13/12,1.4,,D,8/5/13,,,,1.9,,,,TSME1460-535
TSME,1650,HIGH3,CompAbsent,CompPresent,1197,89,RD,A,9/1/11,,,A,9/12/12,1.4,,A,8/7/13,1.7,2,,2,,,,TSME1197-89
TSME,1197,AM162,CompPresent,CompAbsent,1603,240,BL,A,7/21/11,,,A,8/28/12,1.4,,D,8/6/13,,,,2,,,,TSME1603-240
TSME,1460,AE101,CompAbsent,CompAbsent,1460,576,YL,A,8/17/11,,,A,9/13/12,1.4,,D,8/5/13,,,,2,,,,TSME1460-576
TSME,1650,HIGH3,CompPresent,CompPresent,1460,471,YL,A,8/16/11,,,A,9/12/12,1.4,,D,8/7/13,,,,2,,,,TSME1460-471
TSME,1603,PARA4,CompPresent,CompPresent,1460,279,YL,A,8/3/11,,,A,9/11/12,1.4,,D,8/8/13,,,,2.2,,,,TSME1460-279
TSME,1650,HIGH3,CompAbsent,CompAbsent,1460,482,YL,A,9/1/11,,,A,9/12/12,1.4,,A,8/7/13,2,3.1,,2.3,,,,TSME1460-482
TSHE,1197,AM162,CompPresent,CompPresent,1197,166,WH,A,7/21/11,,,A,8/28/12,1.4,,D,8/6/13,,,,2.6,,,,TSHE1197-166
TSHE,1460,AE101,CompAbsent,CompPresent,1197,147,WH,A,8/17/11,,,A,9/13/12,1.4,,D,8/5/13,,,,3,,,,TSHE1197-147
TSHE,1197,AM163,CompPresent,CompAbsent,704,406,GR,A,7/21/11,,,A,8/28/12,1.4,,D,8/6/13,,,,3.2,,,,TSHE704-406
ABAM,1650,HIGH3,CompAbsent,CompAbsent,1064,255,YL,A,9/1/11,,,A,9/12/12,1.4,,D,8/7/13,,,,4.1,,,,ABAM1064-255
TSME,1197,AM163,CompAbsent,CompPresent,1197,177,RD,A,7/21/11,,,A,8/28/12,1.5,,A,8/6/13,3.2,3.6,,1.3,,,,TSME1197-177
TSME,1460,AE105,CompAbsent,CompPresent,1197,185,RD,A,8/2/11,,,A,9/13/12,1.5,,D,8/5/13,,,,1.3,,,,TSME1197-185
TSME,1603,PARA2,CompAbsent,CompPresent,1460,56,YL,A,9/15/11,,snow UNTIL 9/15,A,9/11/12,1.5,,A,8/8/13,2,2.3,,1.4,,,,TSME1460-56
TSME,1603,PARA3,CompAbsent,CompAbsent,1460,71,YL,A,8/16/11,,,A,9/11/12,1.5,,A,8/8/13,2.8,2.7,,1.4,,,,TSME1460-71
TSME,1603,PARA5,CompPresent,CompPresent,1197,287,RD,A,8/3/11,,,A,9/11/12,1.5,,D,8/8/13,,,,1.5,,,,TSME1197-287
TSME,1650,HIGH4,CompAbsent,CompAbsent,1197,470,RD,A,9/1/11,,,A,9/12/12,1.5,,A,8/7/13,1.8,2.5,,1.6,,,,TSME1197-470
TSME,1197,AM164,CompPresent,CompAbsent,1197,63,RD,A,7/21/11,,,A,8/28/12,1.5,,A,8/6/13,1.8,3,,1.6,,,,TSME1197-63
TSME,1064,AV062,CompAbsent,CompAbsent,1197,553,RD,A,6/30/11,,,A,8/28/12,1.5,,D,8/8/13,,,,1.6,,,,TSME1197-553
TSME,1197,AM162,CompPresent,CompAbsent,1460,561,YL,A,7/21/11,,,A,8/28/12,1.5,,A,8/6/13,1.5,2.1,,1.9,,,,TSME1460-561
TSME,1460,AE101,CompPresent,CompPresent,1603,242,BL,A,8/17/11,,,A,9/13/12,1.5,,A,8/5/13,2.1,1.5,,2,,,,TSME1603-242
TSME,1603,PARA3,CompAbsent,CompPresent,1603,96,BL,A,8/16/11,,,A,9/11/12,1.5,,A,8/8/13,2.4,3,,2,,,,TSME1603-96
TSME,1197,AM163,CompAbsent,CompPresent,1460,254,YL,A,7/21/11,,,A,8/28/12,1.5,,A,8/6/13,1.8,3.3,,2,,,,TSME1460-254
TSME,1197,AM165,CompPresent,CompPresent,1460,198,YL,A,7/21/11,,,A,8/28/12,1.5,,D,8/6/13,,,,2.1,,,,TSME1460-198
TSME,1650,HIGH2,CompPresent,CompPresent,1603,521,BL,A,8/16/11,,,A,9/12/12,1.5,,A,8/7/13,2.5,2.8,,2.2,,,,TSME1603-521
TSME,1650,HIGH1,CompAbsent,CompPresent,1603,269,BL,A,8/24/11,,,A,9/12/12,1.5,,,8/7/13,,,,2.4,,,,TSME1603-269
TSME,1197,AM165,CompAbsent,CompPresent,1197,140,RD,A,7/21/11,,,A,8/28/12,1.5,,A,8/6/13,2.4,2.7,,2.7,,,,TSME1197-140
ABAM,1603,PARA5,CompPresent,CompPresent,1603,156,BL,A,8/3/11,,,A,9/11/12,1.5,,A,8/8/13,2,3.8,,2.8,,,,ABAM1603-156
TSME,1650,HIGH2,CompPresent,CompAbsent,1603,117,BL,A,8/16/11,,,A,9/12/12,1.6,,A,8/7/13,1.5,2.6,,1.7,,,,TSME1603-117
