Name,Stand,Block,Gap?,Plot,Date,Type,Treatment,VegHtMid,VegHtCor1,VegHtCor2,VegHtCor3,VegHtCor4,Total Shrub,Total Herb,ABAM,ABAMShrub,Abies,ABIGRA,ABIGRAShrub,ABILAS,ABILASShrub,ACECIR,ACECIRShrub,ACHTRI,ANEDEL,ARNICA,ASTER,ATHFIL,Bare,BERNER,BLESPI,CAREXL,CAREXnarrow,CAREXwide,CASPAR,CASSIO,CHIMEN,CHIUMB,CIRALP,CLASIB,CLIUNI,CORUNA,Dead Wood,DISHOO,Downed Log,EPILOB,ERIGER,ERYMON,Fungus,GALIUM,GAUOVA,GENCAL,GOOOBL,Grass,GYMDIS,HIERAC,Indian Pipes?,LACTUC,Lance Leaved?,Lichen,LIGGRA,LINBOR,LISCOR,LUPINU,LUPLAT,Luzula,Lycopod,MAIDEL,MAIRAC,MAISTE,MENFER,MENFERShrub,MITBRE,MITELL,OPLHOR,OPLHORShrub,OSMBER,ORTSEC,OXAORE,PEDBRA,PEDORN,PEDRAC,PHYEMP,POLBIS,POLYST,POLMUN,POLMUNShrub,POTENT,POTFLA,PSEMEN,RHOALB,RHOALBShrub,Rock,ROSGYM,RUBLAS,RUB'PAN',RUBPED,RUBSPE,Rush,SENTRI,SORSIT,Stem,STRAMP,STRROS,THUPLI,THUPLIShrub,TIATRI,TRACAR,TRIBOR,TRIOVA,TSHE,TSHEShrub,TSME,TSMEShrub,Unk Opp Lv,VACDEL,VACMEM,VACMEMShrub,VACMYR,VACOVA,VACOVAShrub,VACPAR,VAC'PAN',VAC'PAN'Shrub,VALSIT,VERVIR,VIOLA,VIOR,XANO,XANOShrub,XERTEN,Litter,Moss,Wood,Feces,Rush,Sand/Soil,Rock,Root,Bare
AE10N1,AE10,1,N,B,,control,X,2,80,0,0,0,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N2,AE10,2,N,B,,,,0,0,0,2,118,1,<1,<1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N5,AE10,5,N,B,7/26/10,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10G4,AE10,4,Y,B (formerly A),9/21/09,,,150,18,230,110,200,?,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,100,0,0,0,0,0,0,0,0
HIGHG1,HIGH,1,Y,B (formerly A),,,,30,30,25,10,20,,,,,,,,,,,,,,,10,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,,,,,,100,0,0,0,0,0,0,0,0
AE10G3,AE10,3,Y,C,7/27/10,,,40,65,65,45,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,40,,,,,5,,,,3,,,100,0,0,0,0,0,0,0,0
AE10N1,AE10,1,N,C,,seed,X,0,2,0,0,11,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,10,,,,,,,,,,,,<1,,,100,0,0,0,0,0,0,0,0
AE10N2,AE10,2,N,C,,,,0,0,0,140,125,1,<1,<1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N5,AE10,5,N,C,7/26/10,,,0,0,0,0,1,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AV06N1,AV06,1,N,C,,,,0,90/150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15?,,,,,,,,,,,,,,,,,1,,,,,,,,,100,0,0,0,0,0,0,0,0
AV06N4,AV06,4,N,C,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG4,HIGH,4,Y,C,8/12/10,,,15,3,20,10,30,,,,,,,,<1,,,,,,,,,,,,,12,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG1,HIGH,1,Y,C (formerly B),,,,35,12,14,32,23,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,25,,,,,,,,,,,,,,,,,,,,<1,,,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10G3,AE10,3,Y,D,7/27/10,,,40,45,75,50,25,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,20,,,,,8,,,,10,,,100,0,0,0,0,0,0,0,0
AE10N1,AE10,1,N,D,,seedling,C,0,0,0,0,2,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N3,AE10,3,N,D,7/27/10,,,0,0,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AM16N3,AM16,3,N,D,,,,0/>200,0/>200,0/>200,0/>200,55/>200,25,10,10,25?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AV06N1,AV06,1,N,D,,,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG1,HIGH,1,Y,D (formerly C),,,,10,16,12,25,16,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,<1,,,,20,,,,,,,,,,,,1,,,,,,,,,,,,,,,,29,,,,,,,,,35,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG2,HIGH,2,Y,D (formerly C),,,,45,2,6,8,12,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,5,,,,,,10,,,,,,,5,,,40,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,100,0,0,0,0,0,0,0,0
AE10G4,AE10,4,Y,E,,,,33,10,55,15,16,0,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N1,AE10,1,N,E,,control,C,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N3,AE10,3,N,E,7/27/10,,,0,0,0,0,0,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N5,AE10,5,N,E,7/26/10,,,0,0,0,0,0,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10G2,AE10,2,Y,F,,,,2,1,1,3,3,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,4,,,,100,0,0,0,0,0,0,0,0
AE10G3,AE10,3,Y,F,7/27/10,,,75,60,60,55,50,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10G5,AE10,5,Y,F,7/26/10,,,50,60,60,75,50,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,3,,<1,,,,,100,0,0,0,0,0,0,0,0
AE10N1,AE10,1,N,F,,seed,C,22,0,0,1,0,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N4,AE10,4,N,F,,,,87,70,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG4,HIGH,4,Y,F,8/12/10,,,5,10,5,5,5,,,,,,,,,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10G2,AE10,2,Y,G,,,,1,1,4,2,2,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,7,<1,,,100,0,0,0,0,0,0,0,0
AE10G5,AE10,5,Y,G,7/26/10,,,55/140,80,60,100,40/165,,,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,25,,,,,,,,3,,,,,,,100,0,0,0,0,0,0,0,0
AE10N1,AE10,1,N,G,,,,3,3,1,0,0,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N2,AE10,2,N,G,,,,60,77,84,95,110,2,51,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N4,AE10,4,N,G,,,,8,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N5,AE10,5,N,G,7/26/10,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AV06N1,AV06,1,N,G,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG1,HIGH,1,Y,G (formerly D),,,,56,16,33,20,30,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,20,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,100,0,0,0,0,0,0,0,0
AE10G5,AE10,5,Y,H,7/26/10,,,70,90/110,60,70,55,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,5,,,,25,1,,100,0,0,0,0,0,0,0,0
AE10N1,AE10,1,N,H,,,,0,2,3,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,100,0,0,0,0,0,0,0,0
AE10N2,AE10,2,N,H,,,,120,140,2,0,150,5,1,<1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N5,AE10,5,N,H,7/26/10,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AV06N1,AV06,1,N,H,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AV06N4,AV06,4,N,H,,,,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(dead branches in shrub layer),,,,,,,,1,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG1,HIGH,1,Y,H (formerly E),,,,50,50,50,22,35,,,,,,,,,,,,,,,10,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,25,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,100,0,0,0,0,0,0,0,0
AE10G5,AE10,5,Y,I,7/26/10,,,90,80,2/105,75,75,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,<1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,10,2,,,,5,,,,1,,,100,0,0,0,0,0,0,0,0
AE10N1,AE10,1,N,I,,,,10,2,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,100,0,0,0,0,0,0,0,0
AE10N2,AE10,2,N,I,,,,5,1,0,0,0,0,1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,100,0,0,0,0,0,0,0,0
AE10N3,AE10,3,N,I,7/27/10,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N5,AE10,5,N,I,7/26/10,,,1,0,0,0,0,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG1,HIGH,1,Y,I (formerly F),,,,40,35,25,10,5,,,,,,,,,,,,,,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,100,0,0,0,0,0,0,0,0
AE10G4,AE10,4,Y,J,,,,80,75,70,80,80,0,58,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N2,AE10,2,N,J,,,,0,0,0,0,150,25,<1,<1,25?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N3,AE10,3,N,J,7/27/10,,,0/250,0/230,0/240,0/240,0/200,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AE10N5,AE10,5,N,J,7/26/10,,,0,0,0,0,0,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
AV06N2,AV06,2,N,J,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,0
HIGHG1,HIGH,1,Y,J ,,,,50,25,42,25,36,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,55,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,100,0,0,0,0,0,0,0,0
AE10N4,AE10,4,N,J (formerly F),,,,2,4,0,0,0,0,6,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,100,0,0,0,0,0,0,0,0
